Index,Word Count
1,430
10,264
102,35
103,116
108,30
11,199
111,28
112,88
113,73
114,32
115,199
116,29
117,35
118,148
119,79
12,162
120,61
121,61
123,201
124,130
125,103
127,45
128,77
129,56
13,52
130,47
131,47
132,142
133,227
134,42
135,109
137,102
138,171
139,121
14,238
140,79
141,74
143,77
144,60
145,32
146,29
147,70
148,189
149,123
15,209
150,45
151,45
152,55
153,80
154,196
156,173
157,257
158,257
159,277
16,206
160,226
162,162
163,162
164,162
165,73
167,218
168,62
17,170
172,111
173,215
174,305
177,61
178,367
179,213
18,43
180,18
181,94
182,54
183,54
2,266
20,34
21,23
211,57
212,103
213,62
214,29
22,61
221,195
222,123
224,39
225,92
226,62
227,163
228,65
229,132
23,50
230,95
231,67
233,258
236,66
238,124
239,63
24,70
240,158
241,139
242,155
243,60
244,36
245,132
246,132
248,80
249,14
250,265
251,265
252,48
253,99
254,44
255,266
258,52
26,234
261,27
265,99
267,86
268,26
269,26
270,131
271,132
272,122
273,149
274,41
275,41
276,39
28,130
280,66
281,141
283,61
286,62
287,56
288,15
29,134
290,61
292,75
295,12
297,121
298,66
299,48
3,30
30,218
300,33
301,104
303,119
304,45
305,78
306,95
308,13
309,32
31,227
310,38
311,27
312,110
313,110
314,110
315,30
316,39
317,23
318,93
319,120
32,75
320,93
321,107
322,107
323,52
325,28
328,64
329,87
330,31
331,37
332,37
335,22
338,57
339,37
34,261
340,37
343,93
345,38
346,76
347,151
348,33
35,114
350,18
351,64
352,65
355,21
36,129
37,126
38,50
39,45
41,55
45,485
5,86
50,32
51,54
52,36
53,34
55,66
56,147
57,64
58,147
6,207
60,147
65,171
66,172
67,172
7,208
70,285
71,114
72,20
73,237
74,75
75,113
76,123
77,135
78,120
79,114
8,275
80,128
81,91
82,91
85,20
87,25
88,130
89,31
9,46
90,31
91,10
92,64
93,100
94,70
95,147
96,147
97,158
99,125